"idade","sexo","est_civil","raca","escola","lingua_estr","nota_CN","nota_CH","nota_LC","nota_MT","nota_RD","ESC_pai","ESC_mae","renda_fam"
30,"M","solteiro","pardo","não espondeu",0,621.6,660.9,651,727.1,800,"não","não","D"
44,"M","NI","negro","não espondeu",1,498,561.1,529.4,408.5,540,"não","não","D"
28,"M","solteiro","negro","não espondeu",0,NA,NA,NA,NA,NA,"não","não","D"
41,"F","casado","branco","não espondeu",0,595.5,577.2,630.8,606.7,600,"não sabe","sim","G"
24,"M","casado","branco","não espondeu",1,514.6,595.8,517.1,406.5,500,"não","sim","G"
18,"F","solteiro","pardo","pública",0,576.7,521.7,552.7,494.2,660,"não","não","C"
23,"F","solteiro","branco","não espondeu",1,NA,NA,NA,NA,NA,"não","não","A"
17,"F","solteiro","pardo","pública",1,469.9,542.6,542.7,590.5,660,"não","não","C"
22,"M","solteiro","negro","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
33,"F","solteiro","negro","não espondeu",0,470.3,494.4,551.7,428.8,620,"não","não","E"
39,"F","divorciado","negro","não espondeu",1,422.8,408,492.8,373.8,660,"não","não","B"
38,"F","casado","pardo","não espondeu",1,443.5,458.4,442.4,617.1,460,"não","não","D"
20,"M","solteiro","branco","não espondeu",1,NA,NA,NA,NA,NA,"não","sim","C"
24,"F","solteiro","negro","não espondeu",1,610.9,581.9,572.9,601,620,"não","não","G"
34,"F","casado","negro","não espondeu",1,484.9,421.7,445.9,360.6,0,"não","não","C"
21,"M","solteiro","negro","não espondeu",1,489.5,548.9,560.8,511.9,580,"não","não","G"
24,"F","solteiro","pardo","não espondeu",0,422.8,388.6,504.7,432.6,640,"sim","sim","C"
28,"M","solteiro","branco","não espondeu",1,604.3,657.5,584,704.8,880,"não","não","A"
19,"M","solteiro","pardo","pública",1,454.4,439,501.6,513.9,620,"não sabe","não","D"
33,"F","solteiro","branco","não espondeu",1,486.4,488.9,512.3,547.2,460,"não","não","E"
24,"M","solteiro","negro","pública",1,NA,NA,NA,NA,NA,"não","não","C"
42,"F","casado","negro","não espondeu",1,544.7,476.6,506.7,428.4,540,"não","não","F"
19,"F","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não sabe","não sabe","H"
27,"F","casado","negro","não espondeu",0,NA,NA,NA,NA,NA,"não sabe","não","B"
39,"F","casado","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
44,"F","casado","pardo","não espondeu",1,460.5,365.7,475.2,369.2,320,"não","não","E"
18,"F","solteiro","branco","não espondeu",0,442.4,536.5,579.3,556.1,560,"não","não","C"
38,"F","solteiro","negro","não espondeu",1,432.3,466.3,530.4,514.4,540,"não","não","D"
20,"M","solteiro","negro","não espondeu",0,541.3,670.6,592.7,572.2,600,"não","não","B"
33,"F","solteiro","pardo","não espondeu",1,490.9,570.4,559.7,427.5,380,"não","não","C"
18,"M","solteiro","pardo","pública",0,484.8,631.1,556.3,593.3,600,"não","não sabe","E"
20,"M","solteiro","pardo","não espondeu",1,602.7,652.2,591.6,830.3,920,"sim","sim","Q"
25,"F","solteiro","branco","não espondeu",1,463.2,552,547.1,554.9,640,"sim","não","E"
21,"F","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
19,"F","solteiro","branco","não espondeu",0,637,613.3,645.1,771.1,940,"não","não","P"
46,"F","casado","pardo","não espondeu",0,NA,NA,NA,NA,NA,"não","sim","B"
23,"M","solteiro","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","E"
39,"F","solteiro","negro","não espondeu",1,559.4,606.8,550.2,423,660,"não","não","G"
27,"M","NI","pardo","não espondeu",0,NA,NA,NA,NA,NA,"não","não","B"
53,"M","solteiro","pardo","não espondeu",0,NA,NA,NA,NA,NA,"não","não","A"
18,"F","solteiro","indigena","pública",0,438.4,431.4,516,482.5,480,"não","não","E"
31,"F","solteiro","branco","não espondeu",1,414.5,401,456.8,456,480,"não","não","G"
37,"F","solteiro","pardo","não espondeu",0,591.6,622.9,611.1,649,660,"não","não","J"
34,"M","solteiro","branco","não espondeu",0,558.7,567,560.1,625.5,680,"não","não","E"
23,"M","solteiro","negro","não espondeu",0,NA,NA,NA,NA,NA,"não","não","C"
18,"F","solteiro","branco","pública",1,578.2,648.2,647.2,674.1,900,"não","não","E"
18,"M","solteiro","branco","não espondeu",0,575.3,625.3,587.4,748.6,840,"não","não","E"
20,"F","solteiro","branco","não espondeu",0,654.9,640.8,647.4,807.7,760,"não","não","J"
27,"F","solteiro","pardo","não espondeu",1,464.3,575.6,536.3,425.5,520,"não","não","D"
32,"F","solteiro","branco","não espondeu",1,NA,NA,NA,NA,NA,"não","não","D"
37,"F","casado","pardo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","C"
45,"F","solteiro","pardo","não espondeu",0,NA,NA,NA,NA,NA,"não","não","G"
18,"M","solteiro","ND","não espondeu",0,634.5,652.1,596.4,824.9,800,"não","não","D"
19,"F","solteiro","pardo","não espondeu",0,425.8,488.6,530.2,417.4,560,"não","não","E"
23,"M","solteiro","pardo","não espondeu",0,537.2,625.9,609.9,671.9,820,"não","não","G"
18,"F","solteiro","branco","privada",0,612.9,659.7,668.2,804.5,900,"sim","sim","O"
19,"F","solteiro","branco","não espondeu",0,NA,NA,NA,NA,NA,"não","não","C"
27,"F","solteiro","branco","não espondeu",1,NA,NA,NA,NA,NA,"não sabe","não","E"
26,"F","NI","pardo","não espondeu",0,506.1,564.8,586.5,467.7,540,"não","não","A"
33,"F","solteiro","negro","não espondeu",1,443,502.8,527.8,412.6,440,"não","não","B"
30,"F","solteiro","amarelo","não espondeu",1,570.7,580.7,579,726.6,660,"sim","sim","N"
23,"F","solteiro","pardo","não espondeu",0,500.5,581.2,588.2,580.2,680,"sim","não","C"
30,"F","viúvo","amarelo","não espondeu",1,NA,NA,NA,NA,NA,"não","não","B"
